PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Steelpharm;Košice - Šaca;Košický kraj;Okres Košice II;Steelpharm;0,00;0,00;;;;
Dr.Max 135 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 135 s.r.o.;5 002,80;0,00;;;;
Dr.Max 131 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 131 s.r.o.;0,00;0,00;;;;
Dr.Max 133 s.r.o;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 133 s.r.o;2 922,60;0,00;;;;
Dr.Max 128 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 128 s.r.o.;0,00;0,00;;;;
Dr.Max 125 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 125 s.r.o.;1 260,00;;1 260,00;;;
Dr.Max127 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max127 s.r.o.;2 302,40;0,00;;;;
Dr.Max 140 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 140 s.r.o.;0,00;0,00;;;;
Dr.Max 147 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 147 s.r.o.;0,00;0,00;;;;
Dr.Max 136 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 136 s.r.o.;0,00;0,00;;;;
Dr.Max 144 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 144 s.r.o.;6 200,00;0,00;6 000,00;200,00;;
Dr.Max 149 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 149 s.r.o.;1 296,00;0,00;;;;
Dr.Max 145 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 145 s.r.o.;0,00;0,00;;;;
Dr.Max 150 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 150 s.r.o.;0,00;0,00;;;;
KELEK, s.r.o.;Košice - Vyšné Opátske;Košický kraj;Okres Košice IV;KELEK, s.r.o.;0,00;0,00;;;;
Dr.Max 156 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 156 s.r.o.;0,00;0,00;;;;
Dr.Max 151 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 151 s.r.o.;0,00;0,00;;;;
Dr.Max 158 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 158 s.r.o.;0,00;0,00;;;;
Dr.Max 154 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 154 s.r.o.;0,00;0,00;;;;
Dr.Max 160 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 160 s.r.o.;1 800,00;0,00;;1 800,00;;
Dr.Max 157;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 157;0,00;0,00;;;;
Dr.Max 153 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 153 s.r.o.;0,00;0,00;;;;
Dr.Max 155 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 155 s.r.o.;0,00;0,00;;;;
Dr.Max 152 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 152 s.r.o.;0,00;0,00;;;;
AGROVARIA export-import spol s.r.o.;Štúrovo;Nitriansky kraj;Okres Nové Zámky;AGROVARIA export-import spol s.r.o.;0,00;0,00;;;;
PharmDr. Aurélia Gráfelová - Lekáreň Rélia;Číčov;Nitriansky kraj;Okres Komárno;PharmDr. Aurélia Gráfelová - Lekáreň Rélia;0,00;0,00;;;;
Lekáreň sv. Rafaela;Dvorany nad Nitrou;Nitriansky kraj;Okres Topoľčany;Lekáreň sv. Rafaela;0,00;0,00;;;;
lekaren Astra;Štúrovo;Nitriansky kraj;Okres Nové Zámky;lekaren Astra;0,00;0,00;;;;
Miroslav Kasana SANUS;Lužianky;Nitriansky kraj;Okres Nitra;Miroslav Kasana SANUS;0,00;0,00;;;;
Lekáreň HERBA;Ivanka pri Nitre;Nitriansky kraj;Okres Nitra;Lekáreň HERBA;0,00;0,00;;;;
PharmDr. Ľubomír Zorgovský - lekáreň MELISSA;Levice;Nitriansky kraj;Okres Levice;PharmDr. Ľubomír Zorgovský - lekáreň MELISSA;0,00;0,00;;;;
Pharm.Dr.Rábeková Estera Lekáreň Pod gaštanmi;Trnovec nad Váhom;Nitriansky kraj;Okres Šaľa;Pharm.Dr.Rábeková Estera Lekáreň Pod gaštanmi;0,00;0,00;;;;
Lekáreň Arnika;Radošina;Nitriansky kraj;Okres Topoľčany;Lekáreň Arnika;0,00;0,00;;;;
MED-ART s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;MED-ART s.r.o.;660 097,89;0,00;;24 952,48;;2 628,32
Lekárň Zlatý roh;Nové Zámky;Nitriansky kraj;Okres Nové Zámky;Lekárň Zlatý roh;0,00;0,00;;;;
DALEN spol. s r.o.;Šaľa;Nitriansky kraj;Okres Šaľa;DALEN spol. s r.o.;0,00;0,00;;;;
ComorraPharm, s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;ComorraPharm, s.r.o.;0,00;0,00;;;;
Mgr.Andrea Valášková;Nitra;Nitriansky kraj;Okres Nitra;Mgr.Andrea Valášková;0,00;0,00;;;;
QCS Pharma, s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;QCS Pharma, s.r.o.;;;;;;
RDG Stredisko SK, s. r. o.;Topoľčany;Nitriansky kraj;Okres Topoľčany;RDG Stredisko SK, s. r. o.;0,00;0,00;;;;
Steelkom;Topoľčany;Nitriansky kraj;Okres Topoľčany;Steelkom;459,00;0,00;;;;
Lekáreň TILIA pharm,s.r.o.;Šurany;Nitriansky kraj;Okres Nové Zámky;Lekáreň TILIA pharm,s.r.o.;0,00;0,00;;;;
Mgr.Helena Martincov8;Nitra;Nitriansky kraj;Okres Nitra;Mgr.Helena Martincov8;0,00;0,00;;;;
Zdenpharm s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;Zdenpharm s.r.o.;0,00;0,00;;;;
InterMedical, spol s r.o.;Nitra;Nitriansky kraj;Okres Nitra;InterMedical, spol s r.o.;;;;;;
AP s.r.o.;Levice;Nitriansky kraj;Okres Levice;AP s.r.o.;0,00;0,00;;;;
ma-pharm s.r.o.;Kolárovo;Nitriansky kraj;Okres Komárno;ma-pharm s.r.o.;0,00;0,00;;;;
Lekáreň Meridies s. r. o.;Jacovce;Nitriansky kraj;Okres Topoľčany;Lekáreň Meridies s. r. o.;0,00;0,00;;;;
Convallaria s.r.o.;Gbelce;Nitriansky kraj;Okres Nové Zámky;Convallaria s.r.o.;0,00;0,00;;;;
Pharmacopea;Marcelová;Nitriansky kraj;Okres Komárno;Pharmacopea;0,00;0,00;;;;
Lekáreň ZDRAVIE,s.r.o.;Šurany;Nitriansky kraj;Okres Nové Zámky;Lekáreň ZDRAVIE,s.r.o.;;;;;;
BIONATUR mp S.R.O.;Komárno;Nitriansky kraj;Okres Komárno;BIONATUR mp S.R.O.;0,00;0,00;;;;
Lekaren Anima;Prašice;Nitriansky kraj;Okres Topoľčany;Lekaren Anima;0,00;0,00;;;;
Mgr.Jana Vinceová Lekáreň Tesárske Mlyňany;Tesárske Mlyňany;Nitriansky kraj;Okres Zlaté Moravce;Mgr.Jana Vinceová Lekáreň Tesárske Mlyňany;0,00;0,00;;;;
PharmDr, Dagmar Vitkovska;Veľké Ripňany;Nitriansky kraj;Okres Topoľčany;PharmDr, Dagmar Vitkovska;0,00;;;;;
Mgr.Ľubica Cápayová;Topoľčany;Nitriansky kraj;Okres Topoľčany;Mgr.Ľubica Cápayová;0,00;0,00;;;;
APOREA s.r.o.;Golianovo;Nitriansky kraj;Okres Nitra;APOREA s.r.o.;0,00;0,00;;;;
SAGITTARIUS-NZ s.r.o.;Nové Zámky;Nitriansky kraj;Okres Nové Zámky;SAGITTARIUS-NZ s.r.o.;239,04;0,00;;;;
AVENA LEK;Cabaj - Čápor;Nitriansky kraj;Okres Nitra;AVENA LEK;0,00;0,00;;;;
Lekáreň Hibiscus;Želiezovce;Nitriansky kraj;Okres Levice;Lekáreň Hibiscus;0,00;0,00;;;;
Zdravmatsk, s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;Zdravmatsk, s.r.o.;0,00;0,00;;;;
calendula pharmacy s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;calendula pharmacy s.r.o.;0,00;0,00;;;;
partnerin s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;Pharmagen Trade SK, s.r.o., Slovensko;0,00;0,00;;10 000,00;;
partnerin s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;VUAB Pharma a.s., Česká republika;0,00;15 551,61;;;;
partnerin s.r.o.;Komárno;Nitriansky kraj;Okres Komárno;Glim Care s.r.o., Česká republika;0,00;1 360,00;;;;
ALCHEMILLA.S.R.O.;Levice;Nitriansky kraj;Okres Levice;ALCHEMILLA.S.R.O.;;;;;;
VITPHARMA s.r.o.;Topoľčany;Nitriansky kraj;Okres Topoľčany;VITPHARMA s.r.o.;0,00;0,00;;;;
DABOLA, s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;DABOLA, s.r.o.;0,00;0,00;;;;
Lekáreň Polygónia;Nitra;Nitriansky kraj;Okres Nitra;Lekáreň Polygónia;3 000,00;;;;;
PLUS PHARM s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;PLUS PHARM s.r.o.;0,00;0,00;;;;
Sunlight Pharmacy 04 s.r.o.;Nové Zámky;Nitriansky kraj;Okres Nové Zámky;Sunlight Pharmacy 04 s.r.o.;6 114,00;0,00;;;;
PHARMONY s.r.o.;Zbehy;Nitriansky kraj;Okres Nitra;PHARMONY s.r.o.;0,00;0,00;;;;
DALENSYS;Močenok;Nitriansky kraj;Okres Šaľa;DALENSYS;0,00;0,00;;;;
Allmea pharma s.r.o;Tlmače;Nitriansky kraj;Okres Levice;Allmea pharma s.r.o;0,00;0,00;;;;
InterMedical Plus, s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;InterMedical Plus, s.r.o.;2 400,00;;;;;
InterMedical Group, s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;InterMedical Group, s.r.o.;;;;;;
HOMEO CENTRUM s.r.o.;Nitra;Nitriansky kraj;Okres Nitra;HOMEO CENTRUM s.r.o.;0,00;0,00;;;;
Nemocnica AGEL Komárno s. r. o;Komárno;Nitriansky kraj;Okres Komárno;Nemocnica AGEL Komárno s. r. o;0,00;0,00;;;;
Nemocnica Levice s.r.o.;Levice;Nitriansky kraj;Okres Levice;Nemocnica Levice s.r.o.;0,00;0,00;;;;
Zdravcentrum IS;Komárno;Nitriansky kraj;Okres Komárno;Zdravcentrum IS;0,00;0,00;;;;
Lekáreň Šajnová, s.r.o.;Šurany;Nitriansky kraj;Okres Nové Zámky;Lekáreň Šajnová, s.r.o.;0,00;0,00;;;;
MEDea pharmaceuticals,s.r.o.;Prešov;Prešovský kraj;Okres Prešov;MEDea pharmaceuticals,s.r.o.;0,00;0,00;;;;
PharmDr. Mária Forraiová, lekáreň IRIS;Prešov;Prešovský kraj;Okres Prešov;PharmDr. Mária Forraiová, lekáreň IRIS;0,00;0,00;;;;
PROM.MEDIC.SK spol. s r.o.;Poprad;Prešovský kraj;Okres Poprad;PROM.MEDIC.SK spol. s r.o.;96 906,32;101 350,90;40 690,00;32 214,00;23 441,90;
ELIXÍR s.r.o;Stará Ľubovňa;Prešovský kraj;Okres Stará Ľubovňa;ELIXÍR s.r.o;0,00;0,00;;;;
Energomer spol. s r.o.;Nová Ľubovňa;Prešovský kraj;Okres Stará Ľubovňa;Energomer spol. s r.o.;2 074,27;;;2 074,27;;0,00
ADUS s.r.o.;Kežmarok;Prešovský kraj;Okres Kežmarok;ADUS s.r.o.;0,00;0,00;;;;
TRETMENT,s.r.o.,Medzilaborce;Medzilaborce;Prešovský kraj;Okres Medzilaborce;TRETMENT,s.r.o.,Medzilaborce;;;;;;
PHARMAS, spol. s r.o.;Prešov;Prešovský kraj;Okres Prešov;PHARMAS, spol. s r.o.;0,00;0,00;;;;
STYRAX s.r.o.;Poprad;Prešovský kraj;Okres Poprad;STYRAX s.r.o.;0,00;0,00;;;;
"PharmDr. Alena Straková, lekáreň ""VIVA""";Stará Ľubovňa;Prešovský kraj;Okres Stará Ľubovňa;"PharmDr. Alena Straková, lekáreň ""VIVA""";0,00;0,00;;;;
RNDr. Anton Bartunek;Prešov;Prešovský kraj;Okres Prešov;RNDr. Anton Bartunek;0,00;0,00;;;;
PharmDr. Marián Majda Lekáreň Centrál;Svidník;Prešovský kraj;Okres Svidník;PharmDr. Marián Majda Lekáreň Centrál;0,00;0,00;;;;
Lekáreň Pri Košickej bráne;Levoča;Prešovský kraj;Okres Levoča;Lekáreň Pri Košickej bráne;0,00;0,00;;;;
PharmDr. Remáková Darina;Poprad;Prešovský kraj;Okres Poprad;Remáková;0,00;0,00;;;;
SINMED s.r.o.;Bartošovce;Prešovský kraj;Okres Bardejov;SINMED s.r.o.;0,00;0,00;;;;
IMUNA PHARM, a.s.;Šarišské Michaľany;Prešovský kraj;Okres Sabinov;IMUNA PHARM, a.s.;60 227,41;15 833,82;;;;
GMPP s.r.o.;Poprad;Prešovský kraj;Okres Poprad;GMPP s.r.o.;0,00;0,00;;;;
FarmEko, spol. s r.o.;Prešov;Prešovský kraj;Okres Prešov;FarmEko, spol. s r.o.;;;;;;
MJ Lekáreň,s.r.o.;Humenné;Prešovský kraj;Okres Humenné;MJ Lekáreň,s.r.o.;0,00;0,00;;;;
ecivalsar s.r.o.;Raslavice;Prešovský kraj;Okres Bardejov;ecivalsar s.r.o.;0,00;0,00;;;;
APOTHEKE, s.r.o.;Stropkov;Prešovský kraj;Okres Stropkov;APOTHEKE, s.r.o.;0,00;0,00;;;;
GMpharm s.r.o.;Poprad;Prešovský kraj;Okres Poprad;GMpharm s.r.o.;0,00;0,00;;;;
UNIVERSA SP s.r.o.;Stropkov;Prešovský kraj;Okres Stropkov;UNIVERSA SP s.r.o.;134,91;;;;;
Limba Poprad s.r.o.;Gánovce;Prešovský kraj;Okres Poprad;Limba Poprad s.r.o.;0,00;0,00;;;;
Revital plus,s.r.o;Snina;Prešovský kraj;Okres Snina;Revital plus,s.r.o;;;;;;
lekaren pri nemocnici Humenne s.r.o.;Humenné;Prešovský kraj;Okres Humenné;lekaren pri nemocnici Humenne s.r.o.;0,00;0,00;;;;
LEKÁREŇ BREZOVICA, s.r.o.;Nižné Repaše;Prešovský kraj;Okres Levoča;LEKÁREŇ BREZOVICA, s.r.o.;0,00;0,00;;;;
Lekáreň Hlavná 79, s.r.o.;Lipany;Prešovský kraj;Okres Sabinov;Lekáreň Hlavná 79, s.r.o.;0,00;0,00;;;;
AMARO B;Prešov;Prešovský kraj;Okres Prešov;AMARO B;0,00;0,00;;;;
lekaren zdravie humenne s.r.o.;Humenné;Prešovský kraj;Okres Humenné;lekaren zdravie humenne s.r.o.;0,00;0,00;;;;
Ivera s.r.o.;Vranov nad Topľou;Prešovský kraj;Okres Vranov nad Topľou;Ivera s.r.o.;0,00;0,00;;;;
Kamilka Bardejov s.r.o.;Bardejov;Prešovský kraj;Okres Bardejov;Kamilka Bardejov s.r.o.;0,00;0,00;;;;
VAMIR s.r.o.;Prešov;Prešovský kraj;Okres Prešov;VAMIR s.r.o.;;;;;;
MediPharm a.s.;Lipany;Prešovský kraj;Okres Sabinov;MediPharm a.s.;0,00;0,00;;;;
Terveys, s.r.o;Vranov nad Topľou;Prešovský kraj;Okres Vranov nad Topľou;Terveys, s.r.o;0,00;0,00;;;;
Caritas Spiš, s.r.o.;Spišské Podhradie;Prešovský kraj;Okres Levoča;Caritas Spiš, s.r.o.;0,00;0,00;;;;
Netpharma.s.r.o.;Kežmarok;Prešovský kraj;Okres Kežmarok;Netpharma.s.r.o.;0,00;0,00;;;;
TM- Pharmacy, s.r.o.;Sabinov;Prešovský kraj;Okres Sabinov;TM- Pharmacy, s.r.o.;0,00;0,00;;;;
Lekaren pri nemocnici SL, s.r.o.;Stará Ľubovňa;Prešovský kraj;Okres Stará Ľubovňa;Lekaren pri nemocnici SL, s.r.o.;0,00;0,00;;;;
SALVATOR s.r.o.;Prešov;Prešovský kraj;Okres Prešov;SALVATOR s.r.o.;;;;;;
Byzant-Pharm, s.r.o.;Prešov;Prešovský kraj;Okres Prešov;Byzant-Pharm, s.r.o.;0,00;0,00;;;;
KALUSO s.r.o.;Topoľa;Prešovský kraj;Okres Snina;KALUSO s.r.o.;0,00;0,00;;;;
K&K Pharmacy IX., s.r.o.;Prešov;Prešovský kraj;Okres Prešov;K&K Pharmacy IX., s.r.o.;0,00;0,00;;;;
Lekáreň Belá;Belá nad Cirochou;Prešovský kraj;Okres Snina;Lekáreň Belá;0,00;0,00;;;;
Pharm Trade spol. sr.o.;Prešov;Prešovský kraj;Okres Prešov;Pharm Trade spol. sr.o.;0,00;0,00;;;;
Lekáreň Marcus s.r.o.;Poprad;Prešovský kraj;Okres Poprad;Lekáreň Marcus s.r.o.;565,00;;;;;
PT Pharmacy I., s.r.o.;Prešov;Prešovský kraj;Okres Prešov;PT Pharmacy I., s.r.o.;0,00;0,00;;;;
Lekarenrondo sro;Prešov;Prešovský kraj;Okres Prešov;Lekarenrondo sro;0,00;0,00;;;;
PT Pharmacy II, s.r.o.;Prešov;Prešovský kraj;Okres Prešov;PT Pharmacy II, s.r.o.;0,00;0,00;;;;
APOTHEKA Stakčín s.r.o.;Snina;Prešovský kraj;Okres Snina;APOTHEKA Stakčín s.r.o.;40,27;0,00;;;;
DANMARK-MN, s.r.o.;Sabinov;Prešovský kraj;Okres Sabinov;DANMARK-MN, s.r.o.;0,00;0,00;;;;
Salvus Extra,s.r.o.;Kežmarok;Prešovský kraj;Okres Kežmarok;Salvus Extra,s.r.o.;0,00;0,00;;;;
PT Pharmacy IV., s. r. o.;Prešov;Prešovský kraj;Okres Prešov;PT Pharmacy IV., s. r. o.;0,00;0,00;;;;
Lekáreň sv. Lukáša;Považská Bystrica;Trenčiansky kraj;Okres Považská Bystrica;Lekáreň sv. Lukáša;0,00;0,00;;;;
PharmDr. Andrea Uhrinová;Púchov;Trenčiansky kraj;Okres Púchov;PharmDr. Andrea Uhrinová;40,00;157,99;;;;
PharmDr. Stanislav Kuttner-Lekáreň Centa;Papradno;Trenčiansky kraj;Okres Považská Bystrica;PharmDr. Stanislav Kuttner-Lekáreň Centa;;;;;;
EuDent, spol. s.r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;EuDent, spol. s.r.o.;0,00;0,00;;;;
Lekáreň Jantár;Drietoma;Trenčiansky kraj;Okres Trenčín;Lekáreň Jantár;0,00;0,00;;;;
BIOHEM, spol. s r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;BIOHEM, spol. s r.o.;34 227,76;;;;;
Techmac s.r.o.;Považany;Trenčiansky kraj;Okres Nové Mesto nad Váhom;Techmac s.r.o.;;;;;;
LEKÁREŇ SEVER, s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;LEKÁREŇ SEVER, s.r.o.;195,00;;;;;
Unipharma - 1. slovenská lekárnická akciová spoločnosť;Bojnice;Trenčiansky kraj;Okres Prievidza;Unipharma - 1. slovenská lekárnická akciová spoločnosť;480 069,78;0,00;965,30;;;2 000,00
mgr.Marcela Fecsuová - Lekáreň Čachtická;Nová Ves nad Váhom;Trenčiansky kraj;Okres Nové Mesto nad Váhom;mgr.Marcela Fecsuová - Lekáreň Čachtická;0,00;0,00;;;;
PharmDr.Zdeňka Šandriková - Lekáreň sv.Kataríny;Bánovce nad Bebravou;Trenčiansky kraj;Okres Bánovce nad Bebravou;PharmDr.Zdeňka Šandriková - Lekáreň sv.Kataríny;0,00;0,00;;;;
Lekaren Kamelia;Partizánske;Trenčiansky kraj;Okres Partizánske;Lekaren Kamelia;0,00;0,00;;;;
LEKÁREŇ PANOVCE spol.s.r.o.;Trenčianske Teplice;Trenčiansky kraj;Okres Trenčín;LEKÁREŇ PANOVCE spol.s.r.o.;0,00;0,00;;;;
Lekaren ARNIKA;Skačany;Trenčiansky kraj;Okres Partizánske;Lekaren ARNIKA;0,00;0,00;;;;
NATUR STUPAVA spol. s r. o.;Trenčín;Trenčiansky kraj;Okres Trenčín;NATUR STUPAVA spol. s r. o.;0,00;0,00;;;;
Medirel-Slovakia s.r.o.;Nové Mesto nad Váhom;Trenčiansky kraj;Okres Nové Mesto nad Váhom;Medirel-Slovakia s.r.o.;0,00;0,00;;;;
VIVAX Pharmaceuticals, s.r.o.;Považská Bystrica;Trenčiansky kraj;Okres Považská Bystrica;VIVAX Pharmaceuticals, s.r.o.;55 200,00;0,00;15 800,00;56 320,00;0,00;0,00
PharmDr.Stanislav Liday;Chynorany;Trenčiansky kraj;Okres Partizánske;PharmDr.Stanislav Liday;;;;;;
Lekáreň BELLIS, spol. s.r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;Lekáreň BELLIS, spol. s.r.o.;;;;;;
Roncor, a.s.;Moravské Lieskové;Trenčiansky kraj;Okres Nové Mesto nad Váhom;Roncor, a.s.;;;;6 154,55;;
MEDAC SR, spol. s r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;MEDAC SR, spol. s r.o.;629,30;;;;;
BEJP-Tn, s.r.o.;Melčice - Lieskové;Trenčiansky kraj;Okres Trenčín;BEJP-Tn, s.r.o.;0,00;0,00;;;;
ZELMAN s.r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;ZELMAN s.r.o.;0,00;0,00;;;;
MMV,s.r.o;Bánovce nad Bebravou;Trenčiansky kraj;Okres Bánovce nad Bebravou;MMV,s.r.o;0,00;0,00;;;;
LEKÁREŇ STARÉ MESTO s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;LEKÁREŇ STARÉ MESTO s.r.o.;0,00;0,00;;;;
LD Banovce s.r.o.;Bánovce nad Bebravou;Trenčiansky kraj;Okres Bánovce nad Bebravou;LD Banovce s.r.o.;0,00;0,00;;;;
Lekáreň ELIXÍR s.r.o.;Myjava;Trenčiansky kraj;Okres Myjava;Lekáreň ELIXÍR s.r.o.;0,00;0,00;;;;
A S K, s.r.o.;Dolné Naštice;Trenčiansky kraj;Okres Bánovce nad Bebravou;A S K, s.r.o.;0,00;0,00;;;;
ZEA Lekáreň, s.r.o.;Dolné Naštice;Trenčiansky kraj;Okres Bánovce nad Bebravou;ZEA Lekáreň, s.r.o.;0,00;0,00;;;;
LEKÁREŇ U SPASITEĽA OSLANY S.R.O.;Oslany;Trenčiansky kraj;Okres Prievidza;LEKÁREŇ U SPASITEĽA OSLANY S.R.O.;0,00;0,00;;;;
U N I L E K s.r.o.;Handlová;Trenčiansky kraj;Okres Prievidza;U N I L E K s.r.o.;;;;;;
SANOT, s.r.o.;Trenčianske Stankovce;Trenčiansky kraj;Okres Trenčín;SANOT, s.r.o.;;;;;;
PHARMAXS s.r.o.;Partizánske;Trenčiansky kraj;Okres Partizánske;PHARMAXS s.r.o.;119,52;;;;;
Lekáreň Soblahovská s.r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;Lekáreň Soblahovská s.r.o.;;;;;;
"Mgr.Anna Šťastná - Lekáreň ""Šťastie""";Prievidza;Trenčiansky kraj;Okres Prievidza;"Mgr.Anna Šťastná - Lekáreň ""Šťastie""";0,00;0,00;;;;
ZLATÁ RUŽA s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;ZLATÁ RUŽA s.r.o.;0,00;0,00;;;;
PdPharm s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;PdPharm s.r.o.;0,00;0,00;;;;
Lekáreň FARMÁCIA FINA, s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;Lekáreň FARMÁCIA FINA, s.r.o.;120,00;;;;;
BIOXA Therapeutics, s. r. o.;Považská Bystrica;Trenčiansky kraj;Okres Považská Bystrica;BIOXA Therapeutics, s. r. o.;200,00;;;;;
Lekáreň v Prievidzi, s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;Lekáreň v Prievidzi, s.r.o.;0,00;0,00;;;;
Lekáreň NIKA s.r.o.;Nemšová;Trenčiansky kraj;Okres Trenčín;Lekáreň NIKA s.r.o.;0,00;0,00;;;;
PUMED, s.r.o.;Trenčianske Stankovce;Trenčiansky kraj;Okres Trenčín;PUMED, s.r.o.;;;;;;
Lekáreň Valika;Bánovce nad Bebravou;Trenčiansky kraj;Okres Bánovce nad Bebravou;Lekáreň Valika;3 075,00;;;;;
PharmPro, s.r.o.;Trenčianske Jastrabie;Trenčiansky kraj;Okres Trenčín;PharmPro, s.r.o.;0,00;0,00;;;;
APODEMA s.r.o.;Veľké Uherce;Trenčiansky kraj;Okres Partizánske;APODEMA s.r.o.;0,00;0,00;;;;
Najlekáreň s.r.o.;Prievidza;Trenčiansky kraj;Okres Prievidza;Najlekáreň s.r.o.;0,00;0,00;;;;
PHARMAQUA ST, s. r. o.;Stará Turá;Trenčiansky kraj;Okres Nové Mesto nad Váhom;PHARMAQUA ST, s. r. o.;;;;;;
VITALEKARNE, s.r.o.;Trenčín;Trenčiansky kraj;Okres Trenčín;VITALEKARNE, s.r.o.;0,00;0,00;;;;
ProLife Centrum s.r.o.;Považská Bystrica;Trenčiansky kraj;Okres Považská Bystrica;ProLife Centrum s.r.o.;0,00;0,00;;;;
LEKÁREŇ U POŠTÁRKY s.r.o.;Považská Bystrica;Trenčiansky kraj;Okres Považská Bystrica;LEKÁREŇ U POŠTÁRKY s.r.o.;0,00;0,00;;;;
TREMED s.r.o.;Trenčianske Stankovce;Trenčiansky kraj;Okres Trenčín;TREMED s.r.o.;;;;;;
PHAROT s.r.o.;Dubnica nad Váhom;Trenčiansky kraj;Okres Ilava;PHAROT s.r.o.;0,00;0,00;;;;
Miralex Pharmacy, s.r.o.;Púchov;Trenčiansky kraj;Okres Púchov;Miralex Pharmacy, s.r.o.;;;;;;
DANIKO s.r.o.;Nová Dubnica;Trenčiansky kraj;Okres Ilava;DANIKO s.r.o.;0,00;0,00;;;;
ARNICA Púchov, s.r.o.;Púchov;Trenčiansky kraj;Okres Púchov;ARNICA Púchov, s.r.o.;1 779,16;;;;;
BIOMIN, a.s.;Cífer;Trnavský kraj;Okres Trnava;BIOMIN, a.s.;0,00;0,00;;;;
lekaren Aida;Mostová;Trnavský kraj;Okres Galanta;lekaren Aida;0,00;0,00;;;;
Mgr.Oľga Hertlová,Lekáreň Kráľovská;Skalica;Trnavský kraj;Okres Skalica;Mgr.Oľga Hertlová,Lekáreň Kráľovská;0,00;0,00;;;;
Lekareň Herba mv;Pata;Trnavský kraj;Okres Galanta;Lekareň Herba mv;0,00;0,00;;;;
Lekáreň Pod Hájkom;Skalica;Trnavský kraj;Okres Skalica;Lekáreň Pod Hájkom;0,00;0,00;;;;
Lekáreň Zavar;Zavar;Trnavský kraj;Okres Trnava;Lekáreň Zavar;;;;;;
Lekáreň Kamilka, Ebo;Vrbové;Trnavský kraj;Okres Piešťany;Lekáreň Kamilka, Ebo;0,00;0,00;;;;
